时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
1.640584,6889,32794,36854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.642603,6903,32810,36873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.659374,6913,32825,36899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.660599,6925,32836,36913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.681161,6934,32834,36924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.682574,6950,32837,36933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.700548,6961,32832,36941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.701588,6978,32834,36950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.721199,6989,32830,36959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.72222,7001,32829,36956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.739102,7014,32816,36947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.741153,7029,32810,36937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.761455,7041,32803,36939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.762556,7053,32804,36942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.779522,7064,32812,36955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.780559,7074,32824,36975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.791629,7085,32836,36996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.810296,7095,32846,37017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.811301,7106,32849,37028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.830257,7116,32852,37031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.831257,7124,32853,37034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.84864,7128,32851,37033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.850686,7138,32847,37021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.868678,7146,32830,37004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.870959,7150,32820,36972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.891109,7153,32802,36945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.892127,7156,32802,36922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.90935,7157,32796,36908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91038,7157,32797,36898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.930999,7156,32799,36895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.932323,7154,32807,36893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.949419,7156,32806,36895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.950742,7162,32798,36889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.969162,7169,32793,36887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.970304,7176,32778,36875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.991374,7185,32770,36876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.992478,7192,32765,36876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.011208,7202,32763,36880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.013133,7211,32766,36897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.030972,7221,32774,36912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.032076,7227,32780,36922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.048835,7238,32780,36934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.050871,7245,32780,36932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06875,7251,32776,36933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0708,7259,32771,36939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.079446,7268,32769,36953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.099021,7280,32774,36964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.101157,7290,32778,36983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.119175,7298,32786,36993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.121202,7305,32793,37012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1394,7310,32800,37018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.140668,7321,32807,37031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.159456,7326,32812,37043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.160721,7333,32824,37062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.179073,7338,32834,37074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.180329,7343,32842,37089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.198781,7350,32846,37103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.20021,7357,32851,37106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.21955,7365,32844,37110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.220817,7375,32836,37101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.229669,7383,32828,37106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.250549,7392,32829,37102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.251586,7399,32827,37115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.269396,7407,32829,37127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.27042,7416,32835,37134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.289542,7422,32837,37141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.291704,7429,32831,37148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.310001,7436,32829,37144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.311024,7440,32825,37146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
